product_link,status,product_name,source,image_url,redirection,affiliate_type,missing_affiliate_id
https://www.robotaspirateur.biz/go/iRobot-Roomba-981,available,"iRobot Roomba 981, aspirateur robot, idéal pour les tapis avec forte puissance d'aspiration, avec Power boost, navigation plusieurs pièces, connecté en WiFi et programmable via application",https://www.robotaspirateur.biz/,https://images-na.ssl-images-amazon.com/images/I/71bqKffUo5L._AC_SL1500_.jpg,https://www.amazon.fr/dp/B07B6GGJGV?tag=robot_aspirateur-21&keyword=irobot_roomba_981&linkCode=ogi&th=1&psc=1,amazon.fr,missing id
https://www.robotaspirateur.biz/go/iLife-V5s-Pro,available,"ZACO - Robot Aspirateur V5sPro avec Télécommande - Robots Aspirateurs Laveurs 2 en 1 Intelligents sans Fil pour Sol dur et Tapis - Nettoyeur Autonome, Navigation, pour Cheveux et Poils d’Animaux",https://www.robotaspirateur.biz/,https://images-na.ssl-images-amazon.com/images/I/81bDHlqJJHL._AC_SL1500_.jpg,https://www.amazon.fr/dp/B06WRWZ9BH/ref=twister_B07Z6FYTR7?_encoding=UTF8&tag=robot_aspirateur-21&keyword=v5s&psc=1,amazon.fr,missing id
https://www.robotaspirateur.biz/go/ILIFE-V3s-Pro,available,"ILIFE V3s Pro Aspirateur Robot, Nettoyage automatique avec la Télécommande, Ramasse les Poils d’Animaux",https://www.robotaspirateur.biz/,https://images-na.ssl-images-amazon.com/images/I/61vyCkoI0VL._AC_SL1000_.jpg,https://www.amazon.fr/ILIFE-Aspirateur-Robot-Nouvelle-Version/dp/B06X6J4KT4/ref=sr_1_6?s=kitchen&ie=UTF8&qid=1511516210&sr=1-6&keywords=robot+aspirateur&tag=robot_aspirateur-21,amazon.fr,missing id
https://www.amazon.fr/dp/B016ZIJAV0?tag=robot_aspirateur-21&linkCode=ogi&th=1&psc=1,available,"iRobot Roomba 615, Aspirateur Robot pour Tapis et Sols Durs, Capteurs de Poussière Dirt Detect, Système de Nettoyage en 3 Étapes",https://www.robotaspirateur.biz/----https://www.robotaspirateur.biz/lg/----https://www.robotaspirateur.biz/pourquoi-choisir-un-aspirateur-robot/----https://www.robotaspirateur.biz/contact/,https://images-na.ssl-images-amazon.com/images/I/710akJ-u6xL._AC_SL1500_.jpg,No redirections,amazon.fr,missing id
https://www.amazon.fr/dp/B07S747B2J?tag=robot_aspirateur-21&linkCode=ogi&th=1&psc=1,unavailable,"Proscenic Aspirateur Robot 830T, Connecté Wi-Fi et Alexa, Nettoyeur et Laveur 3 en 1, Nettoyage Efficace sur Programmation, Aspiration Puissante Sur Tapis et Sol",https://www.robotaspirateur.biz/----https://www.robotaspirateur.biz/lg/----https://www.robotaspirateur.biz/pourquoi-choisir-un-aspirateur-robot/----https://www.robotaspirateur.biz/contact/,https://images-na.ssl-images-amazon.com/images/I/61z8ALfadHL._AC_SL1000_.jpg,No redirections,amazon.fr,missing id
https://www.amazon.fr/dp/B01IEEVDOK?tag=robot_aspirateur-21&linkCode=osi&th=1&psc=1,available,"iRobot Roomba 960, aspirateur robot avec forte puissance d'aspiration, 2 brosses anti-emmêlement, idéal pour animaux, capteurs de poussière, parfait sur tapis et sols, connecté, programmable via app",https://www.robotaspirateur.biz/----https://www.robotaspirateur.biz/lg/----https://www.robotaspirateur.biz/pourquoi-choisir-un-aspirateur-robot/----https://www.robotaspirateur.biz/contact/----https://www.robotaspirateur.biz/category/robot-laveur/----https://www.robotaspirateur.biz/comparatif-ilife/----https://www.robotaspirateur.biz/proscenic-811gb/,https://images-na.ssl-images-amazon.com/images/I/71v4QauAcGL._AC_SL1500_.jpg,No redirections,amazon.fr,missing id
https://www.amazon.fr/dp/B07X1W96KT?tag=robot_aspirateur-21&linkCode=ogi&th=1&psc=1,available,"Proscenic 820S Aspirateur Robot, APP et Alexa Contrôle, Robot Aspirateur Intelligent avec Cartographie, Recharge Automatique",https://www.robotaspirateur.biz/----https://www.robotaspirateur.biz/lg/----https://www.robotaspirateur.biz/pourquoi-choisir-un-aspirateur-robot/----https://www.robotaspirateur.biz/contact/,https://images-na.ssl-images-amazon.com/images/I/61OLpeM1HyL._AC_SL1000_.jpg,No redirections,amazon.fr,missing id
https://www.robotaspirateur.biz/go/ILIFE-A4s,available,"ZACO A4s – Aspirateur robot intelligent avec 2 modes de nettoyage – Compact, léger et silencieux – Utilisable sur toutes les surfaces, facile à manipuler – Antichute – Gris titane",https://www.robotaspirateur.biz/,https://images-na.ssl-images-amazon.com/images/I/818asM8F5JL._AC_SL1500_.jpg,https://www.amazon.fr/Aspirateur-dautonomie-poussi%C3%A8re-Silencieux-chargement/dp/B06WLM9JQP/ref=sr_1_2?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&tag=robot_aspirateur-21&keywords=zaco+a4s&qid=1574063350&s=kitchen&sr=1-2,amazon.fr,missing id
https://www.robotaspirateur.biz/go/iLife-A4s,available,"ZACO A4s – Aspirateur robot intelligent avec 2 modes de nettoyage – Compact, léger et silencieux – Utilisable sur toutes les surfaces, facile à manipuler – Antichute – Gris titane",https://www.robotaspirateur.biz/,https://images-na.ssl-images-amazon.com/images/I/818asM8F5JL._AC_SL1500_.jpg,https://www.amazon.fr/Aspirateur-dautonomie-poussi%C3%A8re-Silencieux-chargement/dp/B06WLM9JQP/ref=sr_1_2?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&tag=robot_aspirateur-21&keywords=zaco+a4s&qid=1574063350&s=kitchen&sr=1-2,amazon.fr,missing id
https://www.amazon.fr/dp/B01M0B84XP?tag=robot_aspirateur-21&linkCode=osi&th=1&psc=1,available,AMIBOT Spirit - Robots Aspirateurs,https://www.robotaspirateur.biz/----https://www.robotaspirateur.biz/lg/----https://www.robotaspirateur.biz/pourquoi-choisir-un-aspirateur-robot/----https://www.robotaspirateur.biz/contact/,https://images-na.ssl-images-amazon.com/images/I/41NtLnyjTOL._AC_SX355_.jpg,No redirections,amazon.fr,missing id
